iter	MultiClass
0	6.735250529
1	6.660909996
2	6.590589503
3	6.51708384
4	6.450317279
5	6.379579656
6	6.314633855
7	6.256308611
8	6.186777488
9	6.117423148
10	6.046612816
11	5.976262899
12	5.906007897
13	5.842795906
14	5.779735072
15	5.7122651
16	5.644808963
17	5.577935432
18	5.515334348
19	5.449708848
20	5.388170008
21	5.327092034
22	5.265198562
23	5.203978399
24	5.143504903
25	5.080050131
26	5.0199769
27	4.960574652
28	4.90322884
29	4.845202474
30	4.786311762
31	4.729011114
32	4.670562291
33	4.615856429
34	4.563491178
35	4.54328061
36	4.488627796
37	4.436147092
38	4.381177686
39	4.329379717
40	4.279542247
41	4.229189247
42	4.18079236
43	4.136428028
44	4.087957773
45	4.038957307
46	3.993443737
47	3.947563212
48	3.903129687
49	3.860141679
50	3.817116478
51	3.775084413
52	3.734619174
53	3.695742643
54	3.654576733
55	3.614376534
56	3.57490654
57	3.541175104
58	3.50311393
59	3.462929542
60	3.426564831
61	3.391601829
62	3.357056033
63	3.321889535
64	3.287512604
65	3.253159634
66	3.222198717
67	3.189373076
68	3.159661206
69	3.127594926
70	3.096196641
71	3.064351833
72	3.036180766
73	3.007593591
74	2.978721986
75	2.948583749
76	2.918670447
77	2.888967906
78	2.859905991
79	2.830560737
80	2.804821286
81	2.780652707
82	2.753044812
83	2.727946564
84	2.703886107
85	2.678533808
86	2.655204029
87	2.630482919
88	2.606795614
89	2.583557791
90	2.561852198
91	2.538355258
92	2.515135642
93	2.490790897
94	2.46815311
95	2.446716852
96	2.423299123
97	2.403623082
98	2.381937358
99	2.36276665
100	2.343354916
101	2.322591018
102	2.303133235
103	2.281849872
104	2.261503359
105	2.243464046
106	2.224107143
107	2.206296746
108	2.188871966
109	2.172861507
110	2.154332342
111	2.136763359
112	2.11896412
113	2.101229299
114	2.084108777
115	2.068183852
116	2.05114446
117	2.034398498
118	2.017991766
119	2.001945235
120	1.98607897
121	1.970258381
122	1.955048208
123	1.940164482
124	1.926771122
125	1.913075994
126	1.899176843
127	1.884567084
128	1.870721144
129	1.8568083
130	1.842813923
131	1.828270549
132	1.815526232
133	1.802267333
134	1.789500045
135	1.776660077
136	1.76466505
137	1.752652367
138	1.741072633
139	1.729168924
140	1.717037191
141	1.704648381
142	1.693805592
143	1.682844313
144	1.67168717
145	1.661638368
146	1.651419549
147	1.639547756
148	1.628743455
149	1.618631616
150	1.60861301
151	1.598649635
152	1.588484057
153	1.578484398
154	1.568261163
155	1.559321013
156	1.549217636
157	1.539067527
158	1.529073416
159	1.519727218
160	1.509939282
161	1.501594913
162	1.493218799
163	1.482917284
164	1.474371614
165	1.464740919
166	1.455300143
167	1.446392396
168	1.43648223
169	1.427338622
170	1.418019638
171	1.40968173
172	1.401008337
173	1.39215652
174	1.383511517
175	1.37547525
176	1.367883273
177	1.359352109
178	1.350548728
179	1.342719603
180	1.33466574
181	1.325936442
182	1.317732119
183	1.309626911
184	1.302455374
185	1.294384887
186	1.286499156
187	1.280134714
188	1.272990686
189	1.265976671
190	1.259120223
191	1.252243264
192	1.245679547
193	1.238328964
194	1.23080879
195	1.224585174
196	1.218448176
197	1.211842726
198	1.204979014
199	1.198648166
200	1.192156984
201	1.184969878
202	1.178448484
