iter	MultiClass
0	2.153318791
1	2.020002877
2	1.899504195
3	1.822389273
4	1.750588633
5	1.670294161
6	1.613246188
7	1.532747283
8	1.489093339
9	1.427652641
10	1.384388812
11	1.335435399
12	1.293823314
13	1.264039392
14	1.222808906
15	1.196954177
16	1.156497149
17	1.124380155
18	1.101456631
19	1.060717926
20	1.037369101
21	1.012365563
22	0.9935586908
23	0.9717633054
24	0.9341041495
25	0.9128795258
26	0.886715047
27	0.8695188876
28	0.8523262592
29	0.8319564816
30	0.8123614718
31	0.7961356123
32	0.7840645105
33	0.7665989582
34	0.7496335359
35	0.7383794771
36	0.7183251883
37	0.7064939129
38	0.6912500764
39	0.6800594771
40	0.6618763873
41	0.6508690317
42	0.6350838861
43	0.6252151213
44	0.6098316227
45	0.600552624
46	0.595216317
47	0.5846791832
48	0.5717116994
49	0.5645752717
50	0.5555686775
51	0.545610409
52	0.5386490673
53	0.5313459881
54	0.52362768
55	0.5160770511
56	0.5048309954
57	0.4954528511
58	0.4903355211
59	0.4822037569
60	0.4780622926
61	0.4732663665
62	0.4671981826
63	0.4600403721
64	0.4529937902
65	0.4461071269
66	0.4407284418
67	0.4341295458
68	0.4284648925
69	0.4241425206
70	0.4199529574
71	0.4151753546
72	0.4099302391
73	0.3990945694
74	0.3950493253
75	0.3895832636
76	0.3855217466
77	0.3790614382
78	0.3746404979
79	0.3715982095
80	0.3675252549
81	0.363082222
82	0.3581879666
83	0.3531857941
84	0.3478398631
85	0.3431179923
86	0.3391118095
87	0.3347030289
88	0.3308443925
89	0.3263749387
90	0.3227440869
91	0.3183472803
92	0.3154409077
93	0.3119833841
94	0.3067831087
95	0.3030042533
96	0.3004986394
97	0.2980403441
98	0.2947464418
99	0.291058684
100	0.2868970818
101	0.2839068383
102	0.280775692
103	0.2774856786
104	0.2746559282
105	0.2720539245
106	0.2686284701
107	0.2664453184
108	0.2640097427
109	0.2601594451
110	0.2577558636
111	0.2547813786
112	0.2518348998
113	0.2492084748
114	0.2459530542
115	0.2431753297
116	0.2395615684
117	0.2370044036
118	0.2344135863
119	0.2319089973
120	0.2298008229
121	0.2274685458
122	0.2232145057
123	0.2212623458
124	0.219508533
125	0.2178793657
126	0.2158832462
127	0.2138801185
128	0.2117689988
129	0.2078578425
130	0.2060222705
131	0.203460196
132	0.2019180461
133	0.2007316692
134	0.199132315
135	0.197745307
136	0.1961451472
137	0.1944666439
138	0.1929433401
139	0.1914925943
140	0.1900887788
141	0.186453267
142	0.1846055563
143	0.182773772
144	0.1810607376
145	0.1785344404
146	0.1771048705
147	0.1743050598
148	0.1733265834
149	0.1718601991
150	0.170625266
151	0.1693722099
152	0.1681043563
153	0.1670737579
154	0.1659680609
155	0.1648430779
156	0.1624463867
157	0.1610984138
158	0.1586422923
159	0.1575803418
160	0.156528767
161	0.1554514323
162	0.1544660648
163	0.1533684425
164	0.1516312946
165	0.1496003141
166	0.1477772443
167	0.1467864755
168	0.1451152496
169	0.1440922259
170	0.1428742686
171	0.1402205353
172	0.1391871553
173	0.1380488841
174	0.1369288313
175	0.1357749293
176	0.1345788894
177	0.1336151532
178	0.1322955317
179	0.1310045538
180	0.1300829556
181	0.1292751613
182	0.1278670271
183	0.1270470877
184	0.1265426201
185	0.1246197966
186	0.1230919873
187	0.1221965915
188	0.1211803722
189	0.120087324
190	0.1188217893
191	0.1179708352
192	0.1169244521
193	0.1157524574
194	0.1147836827
195	0.1139669009
196	0.1130036254
197	0.1122552462
198	0.1110934926
199	0.1105839247
200	0.1098688062
201	0.1091625411
202	0.1086090969
203	0.1071798356
204	0.1064394803
205	0.1057607763
206	0.1050716457
207	0.1045594281
208	0.1037158243
209	0.1027068655
210	0.1021040837
211	0.1008923872
212	0.1003166532
213	0.09943433773
214	0.09817204967
215	0.0975312396
216	0.09650452066
217	0.09573770064
218	0.09502888166
219	0.09441044395
220	0.09379682869
221	0.09326422234
222	0.09221204204
223	0.09160327631
224	0.0910636117
225	0.09056474793
226	0.09000333904
227	0.08955591371
228	0.08879148979
229	0.08827743905
230	0.08790643555
231	0.08674585894
232	0.08626259992
233	0.08560860841
234	0.08505768773
235	0.0845933114
236	0.08409602257
237	0.08335418042
238	0.08261091811
239	0.08195322104
240	0.08150609212
241	0.08103628213
242	0.08063949166
243	0.08015535768
244	0.07978082572
245	0.07940283335
246	0.07888667258
247	0.07839138676
248	0.07799840469
249	0.07721349859
250	0.07681055877
251	0.07640679539
252	0.07606833199
253	0.07564444765
254	0.07474117728
255	0.07429375098
256	0.07390302595
257	0.07323822291
258	0.07288273715
259	0.0720686055
260	0.07143929329
261	0.07097351366
262	0.07061428432
263	0.07025000477
264	0.06985643219
265	0.06941535311
266	0.06856336265
267	0.06793030077
268	0.06759801619
269	0.06724104119
270	0.06689142612
271	0.06664284505
272	0.06645292077
273	0.06608683145
274	0.06581087239
275	0.06536695222
276	0.06491260129
277	0.06436475873
278	0.0639211669
279	0.06355423558
280	0.06317904099
281	0.06299991572
282	0.06275881617
283	0.06244326639
284	0.06172760635
285	0.061392438
286	0.06107801971
287	0.06062347407
288	0.06025781005
289	0.05996148757
290	0.05974709061
291	0.05943902005
292	0.05918259516
