iter	Passed	Remaining
0	0	460
1	1	513
2	1	484
3	1	476
4	2	463
5	2	475
6	3	473
7	3	469
8	4	464
9	4	459
10	5	454
11	5	450
12	5	449
13	6	449
14	6	446
15	7	438
16	7	439
17	8	443
18	8	439
19	9	445
20	9	447
21	10	447
22	10	450
23	11	450
24	11	451
25	11	447
26	12	446
27	12	443
28	13	440
29	13	440
30	14	438
31	14	441
32	15	440
33	15	440
34	15	438
35	16	436
36	16	437
37	17	437
38	17	436
39	18	436
40	18	436
41	19	434
42	19	431
43	19	430
44	20	428
45	20	425
46	20	425
47	21	426
48	21	423
49	22	423
50	22	424
51	23	422
52	23	421
53	24	422
54	24	420
55	24	419
56	25	418
57	25	419
58	26	417
59	26	417
60	27	416
61	27	416
62	27	416
63	28	414
64	28	414
65	29	413
66	29	412
67	29	410
68	30	408
69	30	407
70	30	405
71	31	402
72	31	403
73	32	402
74	32	402
75	33	402
76	33	402
77	34	401
78	34	399
79	34	399
80	35	399
81	35	399
82	36	399
83	36	399
84	37	398
85	37	398
86	37	398
87	38	397
88	38	397
89	39	397
90	39	396
91	40	395
92	40	394
93	40	393
94	41	392
95	41	392
96	42	393
97	42	392
98	43	392
99	43	392
100	44	392
101	44	392
102	45	393
103	45	392
104	45	391
105	46	391
106	46	390
107	47	390
108	47	390
109	48	390
110	48	389
111	49	390
112	49	389
113	50	390
114	50	390
115	51	390
116	51	389
117	52	389
118	52	389
119	53	389
120	53	389
121	54	389
122	54	388
123	54	388
124	55	387
125	55	386
126	56	386
127	56	386
128	57	387
129	57	387
130	58	386
131	58	386
132	59	386
133	59	385
134	60	385
135	60	384
136	61	384
137	61	383
138	61	383
139	62	384
140	62	382
141	63	383
142	63	382
143	64	381
144	64	382
145	65	381
146	65	381
147	66	380
148	66	380
149	67	379
150	67	379
151	68	379
152	68	379
153	69	379
154	69	378
155	69	378
156	70	378
157	70	377
158	71	377
159	71	377
160	72	377
161	72	377
162	73	377
163	74	377
164	74	376
165	75	379
166	76	379
167	76	378
168	76	378
169	77	378
170	77	378
171	78	377
172	78	377
173	79	377
174	79	377
175	80	376
176	80	376
177	81	375
178	81	375
179	82	375
180	82	374
181	83	374
182	83	374
183	84	374
184	84	374
185	85	373
186	85	373
187	86	373
188	86	373
189	87	373
190	87	372
191	88	372
192	89	372
193	89	372
194	90	371
195	90	371
196	90	370
197	91	370
198	91	370
199	92	369
200	92	369
201	93	368
202	93	368
203	94	367
204	94	367
205	95	366
206	95	366
207	96	365
208	96	365
209	96	364
210	97	364
211	97	363
212	98	363
213	98	363
214	99	362
215	99	362
216	100	361
217	100	361
218	101	360
219	101	360
220	102	359
221	102	359
222	103	359
223	103	358
224	104	358
225	104	357
226	104	357
227	105	356
228	105	356
229	106	355
230	106	355
231	107	354
232	107	353
233	108	353
234	108	352
235	108	352
236	109	352
237	109	351
238	110	351
239	110	351
240	111	350
241	111	350
242	112	350
243	113	350
244	113	349
245	114	349
246	114	348
247	114	348
248	115	348
249	115	347
250	116	347
251	116	346
252	117	346
253	117	346
254	118	345
255	118	345
256	119	345
257	120	345
258	120	344
259	120	344
260	121	343
261	121	343
262	122	343
263	122	342
264	123	342
265	124	342
266	124	341
267	124	341
268	125	340
269	126	340
270	126	340
271	127	340
272	127	340
273	128	339
274	128	339
275	129	339
276	129	338
277	130	338
278	130	338
279	131	337
280	131	337
281	132	336
282	132	336
283	133	335
284	133	335
285	134	334
286	134	334
287	134	333
288	135	333
289	135	332
290	136	332
291	136	331
292	137	331
293	137	330
294	138	330
295	138	330
296	139	329
297	139	329
298	140	328
299	140	328
300	141	327
301	141	327
302	142	327
303	142	326
304	143	326
305	143	325
306	144	325
307	144	324
308	144	324
309	145	323
310	145	323
311	146	322
312	146	322
313	147	321
314	147	321
315	148	320
316	148	320
317	149	320
318	150	320
319	150	319
320	151	319
321	151	318
322	152	318
323	152	318
324	152	317
325	153	317
326	154	317
327	154	316
328	155	316
329	155	315
330	155	315
331	156	314
332	156	314
333	157	314
334	158	313
335	158	313
336	159	312
337	159	312
338	159	311
339	160	311
340	160	311
341	161	310
342	162	311
343	163	311
344	163	311
345	164	310
346	164	310
347	165	309
348	165	309
349	166	308
350	166	308
351	167	307
352	167	307
353	168	306
354	168	306
355	168	305
356	169	305
357	169	304
358	170	304
359	170	303
360	171	302
361	171	302
362	171	301
363	172	301
364	172	300
365	173	300
366	173	299
367	174	299
368	174	299
369	175	298
370	175	298
371	176	297
372	176	297
373	177	296
374	177	296
375	178	295
376	178	295
377	179	294
378	179	294
379	179	293
380	180	293
381	180	292
382	181	292
383	181	291
384	182	291
385	182	290
386	183	290
387	183	289
388	184	289
389	184	288
390	185	288
391	185	287
392	186	287
393	186	286
394	186	286
395	187	285
